id,name,size,aui
1782,Large cell (diffuse),816,A0983180
1783,Large cell follicular,816,A0983184
1784,Immunoblastic (diffuse),816,A0966569
1785,Lymphoblastic (diffuse),816,A0990796
1786,Mixed small cleaved and large cell follicular,816,A1002876
1787,Peripheral T-cell lymphoma,816,A1046108
1788,Oligohydramnios,894,A0094469
1789,Other diseases of larynx,894,A0242070
1790,Other diseases of pharynx,894,A0242056
1791,Spina bifida occulta,894,A0460112
1792,Spina bifida,1000,A0460099
1793,Spina bifida unspecified,894,A1089188
1794,Muscle strain,816,A0436587
1795,Retention of urine,1000,A0284248
1796,Diseases of the genitourinary system,1414,A1411665
1797,Granuloma annulare,894,A0417342
1798,Febrile neutrophilic dermatosis [Sweet],894,A0940732
1799,Motor neuron disease,894,A0436115
1800,Peripheral vascular disease unspecified,894,A0770740
1801,Corneal neovascularization,894,A0402783
1802,Diabetes mellitus arising in pregnancy,894,A0686593
1803,Primary ovarian failure,894,A0578232
1804,Cerebral amyloid angiopathy,894,A0670627
1805,Adult-onset Still's disease,816,A0859628
1806,Erythema infectiosum [fifth disease],894,A0929865
1807,Toxoplasma meningoencephalitis,894,A0808589
1808,Autoimmune polyglandular failure,894,A0649783
1809,Polycystic kidney adult type,894,A1051363
1810,Bacterial meningitis unspecified,894,A0875075
1811,Meningitis in mycoses,894,A1000448
1812,Polycystic kidney infantile type,894,A1051365
1813,Palindromic rheumatism,816,A0243280
1814,Essential (primary) hypertension,1000,A0930328
1815,Encephalopathy unspecified,894,A0694058
1816,Heat cramp,894,A0714513
1817,Fever with chills,894,A0942330
1818,False labour,1000,A0700962
1819,False labour unspecified,894,A0939935
1820,Polydipsia,894,A0003972
1821,Hepatic failure unspecified,894,A0958678
1822,Atrioventricular block first degree,894,A0871933
1823,Right fascicular block,894,A0785533
1824,Monoplegia unspecified,894,A1004251
1825,Stupor,894,A0004271
1826,Falls,1000,A0014580
1827,Unspecified fall,894,A1112428
1828,Pyoderma gangrenosum,1000,A0450343
1829,Polymyositis,894,A0005014
1830,Nummular dermatitis,894,A0005032
1831,Pityriasis alba,894,A0005039
1832,Erythema marginatum,894,A0005056
1833,Onycholysis,894,A0005137
1834,Acute leukaemia of unspecified cell type,816,A0858303
1835,Alcoholic polyneuropathy,894,A0273111
1836,Acute appendicitis,1000,A0008039
1837,Acute appendicitis unspecified,894,A0858085
1838,Chronic cholecystitis,894,A0008092
1839,Chronic gastritis unspecified,894,A0896137
1840,Chronic prostatitis,894,A0008115
1841,Chondromalacia,816,A0008370
1842,Mendelson's syndrome,894,A0742536
1843,Bullous disorders,1154,A0883038
1844,Bullous disorder unspecified,894,A0883036
1845,Enterobiasis,1000,A0054745
1846,Cataract unspecified,894,A0892058
1847,Nutritional marasmus,1000,A0001171
1848,Benign neoplasms,1154,A0394474
1849,Benign neoplasm of unspecified site,894,A0271204
1850,Pseudopelade,894,A0107201
1851,Toxic encephalopathy,1000,A0241246
1852,Obstruction of Eustachian tube,894,A0241600
1853,Acute sinusitis,1000,A0241956
1854,Acute sinusitis unspecified,894,A0640140
1855,Acute tracheitis,894,A0241979
1856,Acute bronchitis,1000,A0241993
1857,Acute bronchitis unspecified,894,A0858115
1858,Chronic sinusitis,1000,A0242012
1859,Chronic sinusitis unspecified,894,A0896424
1860,Chronic tonsillitis,894,A0242044
1861,Acute cholecystitis,894,A0242567
1862,Acute cystitis,894,A0242698
1863,Acute prostatitis,894,A0242746
1864,Calculus of prostate,894,A0242752
1865,Allergic urticaria,894,A0243195
1866,Congenital heart block,894,A0243573
1867,Foreign body in oesophagus,894,A0704068
1868,Penis,894,A0098724
1869,Conduct disorders,1000,A0902730
1870,Conduct disorder unspecified,894,A0902728
1871,Disorder of carbohydrate metabolism unspecified,894,A0919305
1872,Fracture of fibula alone,894,A0704432
1873,Rectal abscess,894,A0782304
1874,Rectocele,894,A0245597
1875,Amaurosis fugax,894,A0389321
1876,Ischiorectal abscess,894,A0562508
1877,Dislocation of acromioclavicular joint,894,A0688665
1878,Acute dilatation of stomach,894,A0277303
1879,Hypertrophy of adenoids,894,A0558879
1880,Fracture of coccyx,894,A0946647
1881,Radial styloid tenosynovitis [de Quervain],816,A1062900
1882,Primary dysmenorrhoea,894,A0776624
1883,Orchitis and epididymitis,1000,A0242760
1884,Anorectal fistula,894,A0534761
1885,Idiopathic gout,816,A0721352
1886,Intermittent hydrarthrosis,816,A0562064
1887,Lichen simplex chronicus,894,A0430469
1888,Migraine,1000,A0086708
1889,Migraine unspecified,894,A0744866
1890,Analgesic nephropathy,894,A0534327
1891,Fracture of orbital floor,894,A0704489
1892,Annular pancreas,894,A0534670
1893,Chlamydial infection of pharynx,894,A0671785
1894,Gonococcal pharyngitis,894,A0709866
1895,Cardiac rehabilitation,894,A0669056
1896,Sclerodactyly,894,A0246571
1897,Mononeuritis multiplex,894,A0246766
1898,Viral carditis,894,A0246814
1899,Bicipital tendinitis,816,A0394660
1900,Hypersensitivity angiitis,894,A0241881
1901,Trochanteric bursitis,816,A0467536
1902,Addisonian crisis,894,A0533240
1903,Folate deficiency anaemia,1000,A0945075
1904,Folate deficiency anaemia unspecified,894,A0945079
1905,Congenital malformations and deformations of the musculoskeletal system,1154,A0903854
1906,Congenital malformation of musculoskeletal system unspecified,894,A0903756
1907,Atrophy of breast,894,A0242833
1908,Atrophic disorders of skin,1000,A0871978
1909,Atrophic disorder of skin unspecified,894,A0871976
1910,Atrioventricular block complete,894,A0276115
1911,Preterm delivery,1000,A1055209
1912,Abnormal findings in cerebrospinal fluid unspecified abnormal finding,894,A0852086
1913,Abnormal findings in cerebrospinal fluid,1000,A0852066
1914,Hypertensive encephalopathy,894,A0422210
1915,Elevated erythrocyte sedimentation rate,894,A0926929
1916,Ventricular premature depolarization,894,A1117136
1917,Infarction of liver,894,A0722939
1918,Ischaemic heart diseases,1154,A0725516
1919,Disorders resulting from impaired renal tubular function,1000,A0919700
1920,Disorder resulting from impaired renal tubular function unspecified,894,A0919534
1921,Abnormal results of liver function studies,894,A0852471
1922,Malignant melanoma of skin unspecified,816,A0738372
1923,Malignant melanoma of skin,894,A0269563
1924,Ocular pain,894,A1020174
1925,Ulcer of oesophagus,894,A0812993
1926,Ulcer of intestine,894,A1110276
1927,Polyneuropathy unspecified,894,A1051485
1928,Louse-borne relapsing fever,894,A0733473
1929,Lobomycosis,894,A0266350
1930,Tinea nigra,894,A0264913
1931,Echinococcus granulosus infection unspecified,894,A0692528
1932,Echinococcus multilocularis infection unspecified,894,A0692537
1933,Echinococcus multilocularis infection other and multiple sites,894,A0925798
1934,Filariasis due to Brugia malayi,894,A0942848
1935,Plasmodium ovale malaria,894,A1049278
1936,Taenia saginata taeniasis,894,A1100284
1937,Dyshormogenetic goitre,894,A0923250
1938,Chronic postrheumatic arthropathy [Jaccoud],816,A0896366
1939,Postdysenteric arthropathy,816,A0264979
1940,Traumatic arthropathy,816,A0264985
1941,Crystal arthropathy unspecified,816,A0910173
1942,Traumatic spondylopathy,816,A0264994
1943,Spinal enthesopathy,816,A0265005
1944,Osteochondropathy unspecified,816,A1025529
1945,Hypermobility syndrome,894,A0265022
1946,Nezelof's syndrome,894,A0265038
1947,Patau's syndrome unspecified,894,A1042391
1948,Edwards' syndrome unspecified,894,A0926052
1949,Disorders of diaphragm,894,A0276898
1950,Postcholecystectomy syndrome,894,A0447827
1951,Hypoplastic left heart syndrome,894,A0265067
1952,Kyphoscoliotic heart disease,894,A0265075
1953,Hypertensive heart disease,1000,A0265088
1954,Dressler's syndrome,894,A0266459
1955,Suberosis,894,A0265105
1956,Meralgia paraesthetica,894,A1001052
1957,Rheumatic chorea,1000,A0265127
1958,Spasmodic torticollis,894,A0265140
1959,Internuclear ophthalmoplegia,894,A0265213
1960,Heat exhaustion due to salt depletion,894,A0265247
1961,Heat fatigue transient,894,A0265254
1962,Mittelschmerz,894,A0265270
1963,Twin pregnancy,894,A0265278
1964,Triplet pregnancy,894,A0265286
1965,Quadruplet pregnancy,894,A0265293
1966,Long labour unspecified,894,A0989361
1967,Long labour,1000,A0989356
1968,Obstructed labour unspecified,894,A1018416
1969,Agalactia,894,A0266581
1970,Primary inadequate contractions,894,A0776665
1971,Pancreatic steatorrhoea,894,A0767746
1972,Anal spasm,894,A0265334
1973,Spasm of sphincter of Oddi,894,A0277697
1974,Unspecified renal colic,1000,A1112851
1975,Primary pulmonary hypertension,894,A0276018
1976,Disorders of trigeminal nerve,1000,A0919679
1977,Disorder of trigeminal nerve unspecified,894,A0919500
1978,Disorders of vagus nerve,894,A0919685
1979,Disorders of hypoglossal nerve,894,A0919608
1980,Amblyopia ex anopsia,894,A0265391
1981,Disorders of accommodation,894,A0273808
1982,Intermittent heterotropia,894,A0274939
1983,Paralytic strabismus,1000,A0274972
1984,Paralytic strabismus unspecified,894,A0768472
1985,Mechanical strabismus,894,A0274991
1986,Lagophthalmos,894,A0266632
1987,Epiphora,894,A0265485
1988,Unattended death,1000,A0284434
1989,Cholinergic urticaria,894,A0265500
1990,Iniencephaly,894,A0265517
1991,Congenital bronchiectasis,894,A0265551
1992,Aneurysmal bone cyst,816,A0265577
1993,Extravasation of urine,894,A0284257
1994,Urethral caruncle,894,A0265592
1995,Acne varioliformis,894,A0265606
1996,Thrombophlebitis migrans,894,A0276383
1997,Toxic erythema,894,A0266687
1998,Osteoporosis of disuse,816,A1025640
1999,Senile cataract morgagnian type,894,A1081625
2000,Osteitis condensans,816,A0265663
2001,Familial erythrocytosis,894,A0552705
2002,Mixed cellularity,816,A1002786
2003,Lymphocytic depletion,816,A0990903
2004,Nodular sclerosis,816,A1012070
2005,Subacute lymphocytic leukaemia,816,A1092749
2006,Chronic erythraemia,816,A0672977
2007,Subacute monocytic leukaemia,816,A0800830
2008,Respiratory syncytial virus pneumonia,894,A0266083
2009,Ankyloglossia,894,A0534642
2010,Web of larynx,894,A0283155
2011,Congenital stenosis of aortic valve,894,A0283086
2012,Macrotia,894,A0266112
2013,Congenital aphakia,894,A0282923
2014,Microtia,894,A0266121
2015,Craniorachischisis,894,A0266139
2016,Polydactyly,1000,A0266148
2017,Polydactyly unspecified,894,A1051383
2018,Congenital bowing of long bones of leg unspecified,894,A0903374
2019,Imperforate hymen,894,A0266192
2020,Mammary duct ectasia,894,A0266219
2021,Urethral diverticulum,894,A0266228
2022,Hydromyelia,894,A0266235
2023,Hydrops of gallbladder,894,A0277667
2024,Urethral discharge,1000,A0266249
2025,Cholesterolosis of gallbladder,894,A0266290
2026,Striae atrophicae,894,A0281046
2027,Balanitis xerotica obliterans,894,A0266313
2028,Other salmonella infections,1000,A0266843
2029,Salmonella septicaemia,894,A0791657
2030,Localized salmonella infections,894,A0266854
2031,Foodborne Vibrio parahaemolyticus intoxication,894,A0945512
2032,Chronic intestinal amoebiasis,894,A0673107
2033,Amoebic nondysenteric colitis,894,A0643897
2034,Amoebic lung abscess,894,A0643891
2035,Amoebic brain abscess,894,A0643864
2036,Amoebic infection of other sites,894,A0643876
2037,Other protozoal intestinal diseases,1000,A0266927
2038,Other specified protozoal intestinal diseases,894,A0266932
2039,Meningeal tuberculoma,894,A1000406
2040,Tuberculosis of intestines peritoneum and mesenteric glands,894,A0811098
2041,Tuberculous cystitis,894,A0811264
2042,Tuberculous peripheral lymphadenopathy,894,A1108603
2043,Tuberculosis of ear,894,A0267471
2044,Tuberculosis of adrenal glands,894,A0267498
2045,Acute miliary tuberculosis unspecified,894,A0639763
2046,Cellulocutaneous plague,894,A0267568
2047,Septicaemic plague,894,A0794415
2048,Ulceroglandular tularaemia,894,A0813074
2049,Oculoglandular tularaemia,894,A0756318
2050,Gastrointestinal anthrax,894,A0267617
2051,Anthrax septicaemia,894,A0645941
2052,Meningococcal heart disease,894,A1000474
2053,Streptococcal septicaemia,1000,A0800193
2054,Streptococcal septicaemia unspecified,894,A0800198
2055,Septicaemia due to unspecified staphylococcus,894,A1081931
2056,Septicaemia due to Streptococcus pneumoniae,894,A1081921
2057,Septicaemia due to anaerobes,894,A0794383
2058,Other specified bacterial diseases,894,A0267725
2059,Acute nonparalytic poliomyelitis,894,A0267763
2060,Varicella encephalitis,894,A0816074
2061,Zoster encephalitis,894,A0820943
2062,Zoster with other nervous system involvement,894,A1122812
2063,Herpesviral meningitis,894,A0716134
2064,Western equine encephalitis,894,A0267947
2065,Eastern equine encephalitis,894,A0267953
2066,Australian encephalitis,894,A0267959
2067,Hepatitis A with hepatic coma,894,A0958737
2068,Unspecified viral hepatitis hepatic with coma,894,A1113009
2069,Mumps orchitis,894,A0268020
2070,Mumps meningitis,894,A0268026
2071,Mumps encephalitis,894,A0268032
2072,Mumps pancreatitis,894,A0268038
2073,Initial stage of trachoma,894,A0969767
2074,Active stage of trachoma,894,A0858006
2075,Arenaviral haemorrhagic fever,1000,A0647364
2076,Arenaviral haemorrhagic fever unspecified,894,A0647368
2077,Other rickettsioses,1000,A0268131
2078,Other specified rickettsioses,894,A0268136
2079,Early congenital syphilis latent,894,A0268176
2080,Late congenital neurosyphilis [juvenile neurosyphilis],894,A0983718
2081,Other late congenital syphilis symptomatic,894,A0268201
2082,Primary anal syphilis,894,A0268213
2083,Asymptomatic neurosyphilis,894,A0268292
2084,Syphilitic peritonitis,894,A0268332
2085,Late syphilis,1000,A0268367
2086,Late syphilis unspecified,894,A0730283
2087,Gonococcal infection of eye,894,A0268407
2088,Gonococcal bursitis,816,A0268431
2089,Gonococcal infection of anus and rectum,894,A0268445
2090,Multiple papillomata and wet crab yaws,894,A0747604
2091,Other early skin lesions of yaws,894,A0268485
2092,Other manifestations of yaws,894,A0268497
2093,Latent yaws,894,A0268502
2094,Primary lesions of pinta,894,A0268507
2095,Intermediate lesions of pinta,894,A0268511
2096,Late lesions of pinta,894,A0268515
2097,Mixed lesions of pinta,894,A0268519
2098,Other spirochaetal infections,1000,A0763899
2099,Tinea manuum,894,A0587624
2100,Black piedra,894,A0268534
2101,Candidiasis of other urogenital sites,894,A0268541
2102,Pulmonary candidiasis,894,A0779610
2103,Candidal endocarditis,894,A0268557
2104,Candidal meningitis,894,A0268567
2105,Coccidioidomycosis meningitis,894,A0899727
2106,Histoplasmosis capsulati unspecified,894,A0959781
2107,Allescheriasis,894,A0533949
2108,Other fluke infections,1000,A0761207
2109,Echinococcus granulosus infection of liver,894,A0268643
2110,Echinococcus granulosus infection of lung,894,A0268648
2111,Echinococcus multilocularis infection of liver,894,A0268658
2112,Other cestode infections,1000,A1028266
2113,Mixed intestinal helminthiases,894,A1002842
2114,Pediculosis and phthiriasis,1000,A1043847
2115,Other infestations,1000,A1030205
2116,Other arthropod infestations,894,A0760214
2117,Other specified infestations,894,A0268741
2118,Sequelae of tuberculosis of bones and joints,894,A0794540
2119,Sequelae of tuberculosis of other organs,894,A0794543
2120,Sequelae of viral encephalitis,894,A0794550
2121,Malignant neoplasm of lip,894,A0268791
2122,Lip unspecified,816,A0988009
2123,Commissure of lip,816,A0901461
2124,Tongue unspecified,816,A1104163
2125,Malignant neoplasm of base of tongue,894,A0268832
2126,Dorsal surface of tongue,816,A0407601
2127,Anterior two-thirds of tongue part unspecified,816,A0865902
2128,Lingual tonsil,816,A0430745
2129,Malignant neoplasm of other and unspecified parts of tongue,894,A0996510
2130,Submandibular gland,816,A0461971
2131,Sublingual gland,816,A0461954
2132,Malignant neoplasm of other and unspecified major salivary glands,894,A0996504
2133,Malignant neoplasm of gum,894,A0268893
2134,Gum unspecified,816,A0953019
2135,Upper gum,816,A0468930
2136,Malignant neoplasm of floor of mouth,894,A0268914
2137,Floor of mouth unspecified,816,A0944475
2138,Anterior floor of mouth,816,A0390261
2139,Malignant neoplasm of other and unspecified parts of mouth,894,A0268931
2140,Cheek mucosa,816,A0400571
2141,Vestibule of mouth,816,A0470708
2142,Hard palate,816,A0420039
2143,Soft palate,816,A0006176
2144,Uvula,816,A0130969
2145,Malignant neoplasm of palate,894,A0268968
2146,Palate unspecified,816,A1040666
2147,Retromolar area,816,A1070340
2148,Mouth unspecified,816,A1005419
2149,Malignant neoplasm of oropharynx,894,A0268979
2150,Oropharynx unspecified,816,A1025053
2151,Tonsillar fossa,816,A0466624
2152,Tonsillar pillar (anterior) (posterior),816,A1104204
2153,Vallecula,816,A1116056
2154,Lateral wall of oropharynx,816,A0429432
2155,Posterior wall of oropharynx,816,A0448312
2156,Malignant neoplasm of nasopharynx,894,A0269026
2157,Nasopharynx unspecified,816,A1009237
2158,Superior wall of nasopharynx,816,A0462902
2159,Posterior wall of nasopharynx,816,A0448307
2160,Lateral wall of nasopharynx,816,A0429425
2161,Anterior wall of nasopharynx,816,A0390576
2162,Malignant neoplasm of hypopharynx,894,A0269058
2163,Hypopharynx unspecified,816,A0963118
2164,Malignant neoplasm of pyriform sinus,894,A0269065
2165,Aryepiglottic fold hypopharyngeal aspect,816,A0869595
2166,Malignant neoplasm of other and ill-defined sites in the lip oral cavity and pharynx,894,A0996500
2167,Pharynx unspecified,816,A1047590
2168,Waldeyer's ring,816,A0471509
2169,Thoracic part of oesophagus,816,A1103113
2170,Upper third of oesophagus,816,A1113315
2171,Middle third of oesophagus,816,A1002090
2172,Lower third of oesophagus,816,A0990055
2173,Cardia,816,A0035100
2174,Pylorus,816,A0108134
2175,Pyloric antrum,816,A0450305
2176,Fundus of stomach,816,A0414997
2177,Body of stomach,816,A0395357
2178,Lesser curvature of stomach unspecified,816,A0986645
2179,Greater curvature of stomach unspecified,816,A0952444
2180,Malignant neoplasm of small intestine,894,A0269188
2181,Small intestine unspecified,816,A1087428
2182,Duodenum,816,A0051841
2183,Jejunum,816,A0076422
2184,Ileum,816,A0072066
2185,Meckel's diverticulum,816,A0434212
2186,Hepatic flexure,816,A0958684
2187,Transverse colon,816,A0467079
2188,Descending colon,816,A0406324
2189,Sigmoid colon,816,A0458341
2190,Caecum,816,A0666639
2191,Ascending colon,816,A0391931
2192,Splenic flexure,816,A1089665
2193,Malignant neoplasm of rectosigmoid junction,894,A0269245
2194,Anal canal,816,A0389574
2195,Anus unspecified,816,A0866557
2196,Malignant neoplasm of liver and intrahepatic bile ducts,894,A0269267
2197,Malignant neoplasm of gallbladder,894,A0269281
2198,Extrahepatic bile duct,816,A0315567
2199,Ampulla of Vater,816,A0023139
2200,Head of pancreas,816,A0420211
2201,Body of pancreas,816,A0395306
2202,Tail of pancreas,816,A0465074
2203,Pancreatic duct,816,A0006217
2204,Malignant neoplasm of retroperitoneum and peritoneum,894,A0269338
2205,Retroperitoneum,816,A0006497
2206,Specified parts of peritoneum,816,A1088846
2207,Peritoneum unspecified,816,A1046370
2208,Spleen,816,A0118706
2209,Malignant neoplasm of accessory sinuses,894,A0996300
2210,Accessory sinus unspecified,816,A0853990
2211,Maxillary sinus,816,A0434083
2212,Ethmoidal sinus,816,A0930542
2213,Frontal sinus,816,A0414884
2214,Sphenoidal sinus,816,A1089059
2215,Glottis,816,A0063661
2216,Supraglottis,816,A1095477
2217,Subglottis,816,A0461920
2218,Laryngeal cartilage,816,A0006069
2219,Malignant neoplasm of trachea,894,A0269430
2220,Main bronchus,816,A0013595
2221,Middle lobe bronchus or lung,816,A1002060
2222,Lower lobe bronchus or lung,816,A0990010
2223,Pleura,816,A0102475
2224,Heart,816,A0066365
2225,Anterior mediastinum,816,A0390369
2226,Posterior mediastinum,816,A0448107
2227,Mediastinum part unspecified,816,A0999689
2228,Upper respiratory tract part unspecified,816,A1113297
2229,Ill-defined sites within the respiratory system,816,A0966283
2230,Malignant neoplasms of bone and articular cartilage,1000,A1411582
2231,Bone and articular cartilage unspecified,816,A0880778
2232,Mandible,816,A0082844
2233,Ribs sternum and clavicle,816,A1071632
2234,Scapula and long bones of upper limb,816,A1079543
2235,Short bones of upper limb,816,A1084043
2236,Pelvic bones sacrum and coccyx,816,A1044016
2237,Long bones of lower limb,816,A0989310
2238,Short bones of lower limb,816,A1084039
2239,Malignant neoplasm of other connective and soft tissue,894,A0996514
2240,Malignant melanoma of lip,816,A0738346
2241,Other malignant neoplasms of skin,894,A1030569
2242,Kaposi's sarcoma of skin,816,A0727055
2243,Kaposi's sarcoma of soft tissue,816,A0978899
2244,Kaposi's sarcoma of palate,816,A0978896
2245,Kaposi's sarcoma of lymph nodes,816,A0978893
2246,Malignant neoplasm of uterus part unspecified,894,A0739428
2247,Endocervix,816,A0410311
2248,Exocervix,816,A0411335
2249,Malignant neoplasm of placenta,894,A0269677
2250,Malignant neoplasm of corpus uteri,894,A0996371
2251,Corpus uteri unspecified,816,A0907380
2252,Fallopian tube,816,A0006292
2253,Parametrium,816,A0444927
2254,Uterine adnexa unspecified,816,A1115024
2255,Malignant neoplasm of other and unspecified female genital organs,894,A0269727
2256,Clitoris,816,A0040007
2257,Malignant neoplasms of female genital organs,1000,A1411586
2258,Female genital organ unspecified,816,A0941055
2259,Malignant neoplasm of testis,894,A0269764
2260,Testis unspecified,816,A1101958
2261,Undescended testis,816,A0012156
2262,Prepuce,816,A1054933
2263,Glans penis,816,A0416839
2264,Body of penis,816,A0880387
2265,Malignant neoplasm of penis,894,A0269799
2266,Penis unspecified,816,A1044257
2267,Epididymis,816,A0055198
2268,Spermatic cord,816,A0459995
2269,Scrotum,816,A0114801
2270,Malignant neoplasms of male genital organs,1000,A1411588
2271,Male genital organ unspecified,816,A0995938
2272,Anterior wall of bladder,816,A0865912
2273,Posterior wall of bladder,816,A1053509
2274,Bladder neck,816,A0879378
2275,Ureteric orifice,816,A1113487
2276,Urachus,816,A0130363
2277,Malignant neoplasm of renal pelvis,894,A0269875
2278,Malignant neoplasm of ureter,894,A0269881
2279,Urethra,816,A0130524
2280,Paraurethral gland,816,A0445051
2281,Orbit,816,A0095117
2282,Conjunctiva,816,A0042160
2283,Cornea,816,A0042843
2284,Choroid,816,A0038938
2285,Malignant neoplasm of brain,894,A0269949
2286,Brain unspecified,816,A0881585
2287,Cerebrum except lobes and ventricles,816,A0893472
2288,Frontal lobe,816,A0414860
2289,Temporal lobe,816,A0465370
2290,Parietal lobe,816,A0445130
2291,Occipital lobe,816,A0440648
2292,Cerebellum,816,A0036958
2293,Brain stem,816,A0395823
2294,Cerebral meninges,816,A0400259
2295,Spinal cord,816,A0460149
2296,Spinal meninges,816,A0006379
2297,Malignant neoplasm of other endocrine glands and related structures,894,A0270033
2298,Parathyroid gland,816,A0006321
2299,Pineal gland,816,A0013698
2300,Carotid body,816,A0399433
2301,Endocrine gland unspecified,816,A0928291
2302,Malignant neoplasm of other and ill-defined sites,894,A0270075
2303,Other ill-defined sites,816,A1030086
2304,Head face and neck,816,A0957501
2305,Thorax,816,A0125608
2306,Abdomen,816,A0017726
2307,Pelvis,816,A0098575
2308,Upper limb,816,A1113221
2309,Lower limb,816,A0989962
2310,Lymph nodes of head face and neck,816,A0990694
2311,Axillary and upper limb lymph nodes,816,A0872960
2312,Secondary malignant neoplasm of respiratory and digestive organs,894,A1080737
2313,Secondary malignant neoplasm of lung,816,A0270143
2314,Secondary malignant neoplasm of mediastinum,816,A0270148
2315,Secondary malignant neoplasm of pleura,816,A0270153
2316,Secondary malignant neoplasm of large intestine and rectum,816,A0270163
2317,Secondary malignant neoplasm of other specified sites,816,A0270172
2318,Secondary malignant neoplasm of bladder and other and unspecified urinary organs,816,A0793715
2319,Secondary malignant neoplasm of skin,816,A0270187
2320,Secondary malignant neoplasm of bone and bone marrow,816,A0270197
2321,Secondary malignant neoplasm of adrenal gland,816,A0270202
2322,Other monocytic leukaemia,816,A0761922
2323,Subacute leukaemia of unspecified cell type,816,A1092743
2324,Lip,894,A0080292
2325,Tongue,894,A0126764
2326,Floor of mouth,894,A0414212
2327,Other and unspecified parts of mouth,894,A1027601
2328,Tonsil,894,A0126811
2329,Other parts of oropharynx,894,A1031916
2330,Nasopharynx,894,A0090274
2331,Hypopharynx,894,A0071329
2332,Pharynx unspecified,894,A1047591
2333,Oesophagus,894,A1020513
2334,Stomach,894,A0119765
2335,Middle ear nasal cavity and accessory sinuses,894,A1002033
2336,Larynx,894,A0078310
2337,Trachea,894,A0127243
2338,Bronchus and lung,894,A0882361
2339,Mediastinum,894,A0083939
2340,Heart,894,A0066366
2341,Benign neoplasm of bone and articular cartilage,1000,A0270820
2342,Bone and articular cartilage unspecified,894,A0880779
2343,Bones of skull and face,894,A0881012
2344,Ribs sternum and clavicle,894,A1071633
2345,Scapula and long bones of upper limb,894,A1079544
2346,Short bones of upper limb,894,A1084044
2347,Pelvic bones sacrum and coccyx,894,A1044017
2348,Long bones of lower limb,894,A0989311
2349,Short bones of lower limb,894,A1084040
2350,Connective and other soft tissue of head face and neck,894,A0904362
2351,Connective and other soft tissue of upper limb including shoulder,894,A0904367
2352,Connective and other soft tissue of lower limb including hip,894,A0904363
2353,Connective and other soft tissue of abdomen,894,A0904361
2354,Connective and other soft tissue of pelvis,894,A0904364
2355,Submucous leiomyoma of uterus,894,A0270927
2356,Intramural leiomyoma of uterus,894,A0270932
2357,Subserosal leiomyoma of uterus,894,A1093631
2358,Other benign neoplasms of uterus,1000,A1027945
2359,Uterus unspecified,894,A1115133
2360,Benign neoplasm of other and unspecified female genital organs,1000,A0876680
2361,Vagina,894,A0131172
2362,Vulva,894,A0133505
2363,Other specified female genital organs,894,A1033566
2364,Female genital organ unspecified,894,A0941056
2365,Testis,894,A0124338
2366,Prostate,894,A0106118
2367,Epididymis,894,A0055199
2368,Scrotum,894,A0114802
2369,Renal pelvis,894,A0452339
2370,Ureter,894,A0130482
2371,Bladder,894,A0031268
2372,Urethra,894,A0130525
2373,Orbit unspecified,894,A1024727
2374,Conjunctiva,894,A0042161
2375,Cornea,894,A0042844
2376,Retina,894,A0111647
2377,Choroid,894,A0038939
2378,Cerebral meninges,894,A0400260
2379,Spinal cord,894,A0460150
2380,Spinal meninges,894,A0006380
2381,Benign neoplasm of thyroid gland,1000,A0876721
2382,Adrenal gland,894,A0006310
2383,Parathyroid gland,894,A0006322
2384,Pineal gland,894,A0013699
2385,Carotid body,894,A0399434
2386,Aortic body and other paraganglia,894,A0866639
2387,Benign neoplasm of other and unspecified sites,1000,A0271188
2388,Lymph nodes,894,A0431483
2389,Other specified sites,894,A1034813
2390,Digestive organ unspecified,894,A0917959
2391,Lip oral cavity and pharynx,894,A0988004
2392,Oesophagus,894,A1020512
2393,Stomach,894,A0119764
2394,Colon,894,A0040974
2395,Rectum,894,A0110229
2396,Other and unspecified parts of intestine,894,A1027600
2397,Carcinoma in situ of other and unspecified digestive organs,1000,A0271251
2398,Larynx,894,A0078309
2399,Trachea,894,A0127242
2400,Bronchus and lung,894,A0882360
2401,Carcinoma in situ of skin,1000,A0271280
2402,Skin unspecified,894,A1087089
2403,Skin of lip,894,A0458974
2404,Skin of other and unspecified parts of face,894,A1086839
2405,Skin of scalp and neck,894,A1086892
2406,Skin of upper limb including shoulder,894,A1086939
2407,Skin of lower limb including hip,894,A1086811
2408,Carcinoma in situ of breast,1000,A0271326
2409,Carcinoma in situ of breast unspecified,894,A0891201
2410,Other and unspecified female genital organs,894,A1027486
2411,Prostate,894,A0106117
2412,Penis,894,A0098723
2413,Other and unspecified male genital organs,894,A1027573
2414,Bladder,894,A0031267
2415,Other and unspecified urinary organs,894,A1027643
2416,Carcinoma in situ of other and unspecified sites,1000,A0271374
2417,Eye,894,A0057443
2418,Other digestive organs,894,A1029109
2419,Trachea bronchus and lung,894,A1105293
2420,Adrenal gland,894,A0006311
2421,Neoplasm of uncertain or unknown behaviour of meninges,1000,A1010479
2422,Meninges unspecified,894,A1000424
2423,Connective and other soft tissue,894,A0904360
2424,Histiocytic and mast cell tumours of uncertain and unknown behaviour,894,A0959743
2425,Thyrotoxicosis with toxic single thyroid nodule,894,A0807333
2426,Thyrotoxicosis with toxic multinodular goitre,894,A0807330
2427,Thyrotoxicosis from ectopic thyroid tissue,894,A0807311
